rbp,cell,protocol
ILF3,HepG2,ECLIP
GTF2F1,K562,ECLIP
UTP18,HepG2,ECLIP
BUD13,K562,ECLIP
FTO,HepG2,ECLIP
NIP7,HepG2,ECLIP
FKBP4,HepG2,ECLIP
GRWD1,HepG2,ECLIP
RPS3,K562,ECLIP
U2AF2,K562,ECLIP
HLTF,K562,ECLIP
AGGF1,K562,ECLIP
GPKOW,K562,ECLIP
EIF4G2,K562,ECLIP
STAU2,HepG2,ECLIP
SRSF9,HepG2,ECLIP
BUD13,HepG2,ECLIP
XRCC6,K562,ECLIP
SUGP2,HepG2,ECLIP
LSM11,K562,ECLIP
U2AF1,HepG2,ECLIP
NPM1,K562,ECLIP
SUPV3L1,HepG2,ECLIP
ABCF1,K562,ECLIP
GRSF1,HepG2,ECLIP
HNRNPU,K562,ECLIP
SLTM,K562,ECLIP
NIPBL,K562,ECLIP
NKRF,HepG2,ECLIP
EXOSC5,K562,ECLIP
KHSRP,HepG2,ECLIP
DDX51,K562,ECLIP
PCBP1,HepG2,ECLIP
EWSR1,K562,ECLIP
IGF2BP2,K562,ECLIP
RBFOX2,HepG2,ECLIP
NONO,K562,ECLIP
GEMIN5,K562,ECLIP
AKAP1,K562,ECLIP
DDX55,K562,ECLIP
PRPF8,K562,ECLIP
SF3B1,K562,ECLIP
SUPV3L1,K562,ECLIP
SSB,K562,ECLIP
TIA1,K562,ECLIP
HNRNPL,K562,ECLIP
XRN2,K562,ECLIP
SMNDC1,K562,ECLIP
TAF15,HepG2,ECLIP
AKAP1,HepG2,ECLIP
LSM11,HepG2,ECLIP
UCHL5,HepG2,ECLIP
SF3B4,K562,ECLIP
YWHAG,K562,ECLIP
ZC3H11A,K562,ECLIP
ZC3H11A,HepG2,ECLIP
PABPC4,K562,ECLIP
RBM22,HepG2,ECLIP
PUM1,K562,ECLIP
DDX52,HepG2,ECLIP
FMR1,K562,ECLIP
PCBP2,HepG2,ECLIP
CDC40,HepG2,ECLIP
FUS,HepG2,ECLIP
DDX6,HepG2,ECLIP
TIAL1,HepG2,ECLIP
SRSF7,HepG2,ECLIP
PTBP1,HepG2,ECLIP
SDAD1,HepG2,ECLIP
RBM15,HepG2,ECLIP
KHDRBS1,K562,ECLIP
HNRNPM,K562,ECLIP
UPF1,K562,ECLIP
CPSF6,K562,ECLIP
AATF,K562,ECLIP
RBM15,K562,ECLIP
GTF2F1,HepG2,ECLIP
EIF3H,HepG2,ECLIP
FASTKD2,HepG2,ECLIP
TIA1,HepG2,ECLIP
WRN,K562,ECLIP
EXOSC5,HepG2,ECLIP
PTBP1,K562,ECLIP
NCBP2,K562,ECLIP
EIF3D,HepG2,ECLIP
HNRNPK,HepG2,ECLIP
ZNF800,HepG2,ECLIP
SAFB,K562,ECLIP
PPIG,HepG2,ECLIP
FAM120A,K562,ECLIP
UTP18,K562,ECLIP
SND1,HepG2,ECLIP
SAFB,HepG2,ECLIP
SRSF1,K562,ECLIP
FXR1,K562,ECLIP
U2AF2,HepG2,ECLIP
DROSHA,K562,ECLIP
SLBP,K562,ECLIP
LARP4,K562,ECLIP
BCCIP,HepG2,ECLIP
UCHL5,K562,ECLIP
SDAD1,K562,ECLIP
EIF3G,K562,ECLIP
XRN2,HepG2,ECLIP
UTP3,K562,ECLIP
HNRNPL,HepG2,ECLIP
CSTF2T,K562,ECLIP
XPO5,HepG2,ECLIP
PRPF4,HepG2,ECLIP
HNRNPUL1,K562,ECLIP
DDX52,K562,ECLIP
QKI,K562,ECLIP
NOL12,HepG2,ECLIP
AARS,K562,ECLIP
PRPF8,HepG2,ECLIP
SND1,K562,ECLIP
HNRNPK,K562,ECLIP
AQR,HepG2,ECLIP
LIN28B,K562,ECLIP
SERBP1,K562,ECLIP
DHX30,K562,ECLIP
IGF2BP1,K562,ECLIP
RBFOX2,K562,ECLIP
FAM120A,HepG2,ECLIP
DGCR8,K562,ECLIP
DDX3X,HepG2,ECLIP
DHX30,HepG2,ECLIP
EFTUD2,HepG2,ECLIP
PUS1,K562,ECLIP
SMNDC1,HepG2,ECLIP
HLTF,HepG2,ECLIP
CSTF2,HepG2,ECLIP
SRSF1,HepG2,ECLIP
TRA2A,K562,ECLIP
ZC3H8,K562,ECLIP
SRSF7,K562,ECLIP
HNRNPM,HepG2,ECLIP
WDR3,K562,ECLIP
NOLC1,HepG2,ECLIP
IGF2BP3,HepG2,ECLIP
HNRNPC,K562,ECLIP
PABPN1,HepG2,ECLIP
DDX55,HepG2,ECLIP
DDX42,K562,ECLIP
NSUN2,K562,ECLIP
TRA2A,HepG2,ECLIP
DDX59,HepG2,ECLIP
AQR,K562,ECLIP
ZNF622,K562,ECLIP
U2AF1,K562,ECLIP
G3BP1,HepG2,ECLIP
NCBP2,HepG2,ECLIP
DGCR8,HepG2,ECLIP
EFTUD2,K562,ECLIP
HNRNPA1,HepG2,ECLIP
