rbp,protocol,cell,nr
ILF3,ECLIP,HEPG2,.
GTF2F1,ECLIP,K562,.
UTP18,ECLIP,HEPG2,.
BUD13,ECLIP,K562,.
FTO,ECLIP,HEPG2,.
NIP7,ECLIP,HEPG2,.
FKBP4,ECLIP,HEPG2,.
GRWD1,ECLIP,HEPG2,.
RPS3,ECLIP,K562,.
U2AF2,ECLIP,K562,.
HLTF,ECLIP,K562,.
AGGF1,ECLIP,K562,.
GPKOW,ECLIP,K562,.
EIF4G2,ECLIP,K562,.
STAU2,ECLIP,HEPG2,.
SRSF9,ECLIP,HEPG2,.
BUD13,ECLIP,HEPG2,.
XRCC6,ECLIP,K562,.
SUGP2,ECLIP,HEPG2,.
LSM11,ECLIP,K562,.
U2AF1,ECLIP,HEPG2,.
NPM1,ECLIP,K562,.
SUPV3L1,ECLIP,HEPG2,.
ABCF1,ECLIP,K562,.
GRSF1,ECLIP,HEPG2,.
HNRNPU,ECLIP,K562,.
SLTM,ECLIP,K562,.
NIPBL,ECLIP,K562,.
NKRF,ECLIP,HEPG2,.
EXOSC5,ECLIP,K562,.
KHSRP,ECLIP,HEPG2,.
DDX51,ECLIP,K562,.
PCBP1,ECLIP,HEPG2,.
EWSR1,ECLIP,K562,.
IGF2BP2,ECLIP,K562,.
RBFOX2,ECLIP,HEPG2,.
NONO,ECLIP,K562,.
GEMIN5,ECLIP,K562,.
AKAP1,ECLIP,K562,.
DDX55,ECLIP,K562,.
PRPF8,ECLIP,K562,.
SF3B1,ECLIP,K562,.
SUPV3L1,ECLIP,K562,.
SSB,ECLIP,K562,.
TIA1,ECLIP,K562,.
HNRNPL,ECLIP,K562,.
XRN2,ECLIP,K562,.
SMNDC1,ECLIP,K562,.
TAF15,ECLIP,HEPG2,.
AKAP1,ECLIP,HEPG2,.
LSM11,ECLIP,HEPG2,.
UCHL5,ECLIP,HEPG2,.
SF3B4,ECLIP,K562,.
YWHAG,ECLIP,K562,.
ZC3H11A,ECLIP,K562,.
ZC3H11A,ECLIP,HEPG2,.
PABPC4,ECLIP,K562,.
RBM22,ECLIP,HEPG2,.
PUM1,ECLIP,K562,.
DDX52,ECLIP,HEPG2,.
FMR1,ECLIP,K562,.
PCBP2,ECLIP,HEPG2,.
CDC40,ECLIP,HEPG2,.
FUS,ECLIP,HEPG2,.
DDX6,ECLIP,HEPG2,.
TIAL1,ECLIP,HEPG2,.
SRSF7,ECLIP,HEPG2,.
PTBP1,ECLIP,HEPG2,.
SDAD1,ECLIP,HEPG2,.
RBM15,ECLIP,HEPG2,.
KHDRBS1,ECLIP,K562,.
HNRNPM,ECLIP,K562,.
UPF1,ECLIP,K562,.
CPSF6,ECLIP,K562,.
